證券代碼	年月日	當日均價(元)	當日成交量
006208 富邦台50	20191002	48.3228	564.889
0050 元大台灣50	20191002	85.7345	5653.66
0050 元大台灣50	20191003	84.8136	4868.24
006208 富邦台50	20191003	47.9102	274.033
0050 元大台灣50	20191004	85.1242	3746.99
006208 富邦台50	20191004	47.9818	692.825
006208 富邦台50	20191007	48.3844	692.201
0050 元大台灣50	20191007	85.433	4140.75
0050 元大台灣50	20191008	86.4268	12195.4
006208 富邦台50	20191008	48.7734	618.401
006208 富邦台50	20191009	48.5886	517.6
0050 元大台灣50	20191009	85.9935	6916.83
006208 富邦台50	20191014	49.1984	651.129
0050 元大台灣50	20191014	87.3311	9491.3
006208 富邦台50	20191015	49.4216	660.088
0050 元大台灣50	20191015	87.6222	4377.61
0050 元大台灣50	20191016	88.0049	3983.67
006208 富邦台50	20191016	49.7317	1261.12
006208 富邦台50	20191017	49.5698	1361.73
0050 元大台灣50	20191017	88.0229	2540.88
0050 元大台灣50	20191018	88.1122	2815.8
006208 富邦台50	20191018	49.6693	524.008
006208 富邦台50	20191021	49.6561	545.515
0050 元大台灣50	20191021	87.8766	1077.65
0050 元大台灣50	20191022	88.5759	3256.4
006208 富邦台50	20191022	49.977	495.496
006208 富邦台50	20191023	49.9689	1070.07
0050 元大台灣50	20191023	88.5646	2580.66
0050 元大台灣50	20191024	88.6723	2579.56
006208 富邦台50	20191024	50.1034	458.044
006208 富邦台50	20191025	50.3003	842.118
0050 元大台灣50	20191025	88.937	7971.19
0050 元大台灣50	20191028	89.1597	5009.77
006208 富邦台50	20191028	50.5167	884.098
0050 元大台灣50	20191029	89.5307	7410.98
006208 富邦台50	20191029	50.7347	503.545
0050 元大台灣50	20191030	89.5426	5384.27
006208 富邦台50	20191030	50.8511	970.311
0050 元大台灣50	20191031	90.2925	9458.16
006208 富邦台50	20191031	51.2715	995.154
006208 富邦台50	20191101	51.1519	625.657
0050 元大台灣50	20191101	89.9486	2806.78
006208 富邦台50	20191104	52.2438	945.553
0050 元大台灣50	20191104	91.4272	6730.68
006208 富邦台50	20191105	52.6477	1071.56
0050 元大台灣50	20191105	92.6201	3966.28
